id,node_id,type,value,unit,metadata,created_at,created_by,agro_event_id,gateway_id,event_category,event_type,target_scope,started_at,ended_at,source,confidence,details,notes,entered_by,updated_at
0c9e9c32-6309-4d76-ab28-1ec5cdbc4ca1,MAIN,,,,,2026-05-15 08:55:27.14647+01,,IRR-20260512-0700-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-12T07:00:00+01:00,2026-05-12T15:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
5004f3b0-9296-4a0f-845f-fd491423081b,N2,,,,,2026-05-15 08:56:34.205687+01,,IRR-20260512-1500-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-12T15:00:00+01:00,2026-05-12T17:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 120}",paused_at_17:00_resumed_at_22:00,,
5004f3b0-9296-4a0f-845f-fd491423081b,N2,,,,,2026-05-15 08:56:34.205687+01,,IRR-20260512-1500-P2-R,GW01,irrigation,irrigation_session,pivot_2,2026-05-12T22:00:00+01:00,2026-05-13T04:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 120}",paused_at_17:00_resumed_at_22:00,,
0d193b0c-f70b-4d33-94ec-d8eaf8614adc,MAIN,,,,,2026-05-15 08:58:09.42084+01,,IRR-20260512-2300-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-12T23:00:00+01:00,2026-05-13T07:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 660}",,,
551f4c71-904c-4591-ac67-f6b8fba1ea84,N2,,,,,2026-05-15 08:59:04.658701+01,,IRR-20260513-0700-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-13T07:00:00+01:00,2026-05-13T15:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
2a6f6600-1fe0-4b77-99f2-8baa25f4bc2d,MAIN,,,,,2026-05-15 08:59:36.110481+01,,IRR-20260513-1500-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-13T15:00:00+01:00,2026-05-13T17:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 300}",paused_at_17:00_resumed_at_22:00,,
2a6f6600-1fe0-4b77-99f2-8baa25f4bc2d,MAIN,,,,,2026-05-15 08:59:36.110481+01,,IRR-20260513-1500-P1-R,GW01,irrigation,irrigation_session,pivot_1,2026-05-13T22:00:00+01:00,2026-05-14T04:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 300}",paused_at_17:00_resumed_at_22:00,,
69887f09-2097-4c45-98aa-efa8130f1b4c,N2,,,,,2026-05-15 09:00:16.626034+01,,IRR-20260513-2300-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-13T23:00:00+01:00,2026-05-14T07:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 180}",,,
0c13bfd4-39c5-495b-92f9-0afd351f7c0b,MAIN,,,,,2026-05-15 09:00:51.0177+01,,IRR-20260514-0700-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-14T07:00:00+01:00,2026-05-14T15:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
66e0c2b5-b9c6-40bc-8702-9bfd255f10e1,N2,,,,,2026-05-15 09:01:20.938756+01,,IRR-20260514-1500-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-14T15:00:00+01:00,2026-05-14T17:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 480}",paused_at_17:00_resumed_at_22:00,,
66e0c2b5-b9c6-40bc-8702-9bfd255f10e1,N2,,,,,2026-05-15 09:01:20.938756+01,,IRR-20260514-1500-P2-R,GW01,irrigation,irrigation_session,pivot_2,2026-05-14T22:00:00+01:00,2026-05-15T04:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 480}",paused_at_17:00_resumed_at_22:00,,
5f274c6b-39ce-4305-ad2e-9cad6246adb4,MAIN,,,,,2026-05-15 09:02:16.022229+01,,IRR-20260514-2300-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-14T23:00:00+01:00,2026-05-15T07:00:00+01:00,scheduled_field_operation,exact,"{""status"": ""completed"", ""duration_min"": 480}",,,
06fed6ee-0754-5744-a466-9575243ffa8d,N2,,,,,,,IRR-20260515-0700-P2,GW01,irrigation,irrigation_session,pivot_2,2026-05-15T07:00:00+01:00,2026-05-15T15:00:00+01:00,scheduled_field_operation,exact,,Scheduled 8-hour irrigation cycle for Pivot 2.,,
f9ed82ae-faab-5e35-8c10-fe71c90307b5,MAIN,,,,,,,IRR-20260515-1500-P1,GW01,irrigation,irrigation_session,pivot_1,2026-05-15T15:00:00+01:00,2026-05-15T17:00:00+01:00,scheduled_field_operation,exact,,paused_at_17:00_resumed_at_22:00,,
